"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","98건","","270,274","","",""
"1","소스류","후쿠오카현","2015-01-07","1,992","불검출","불검출","적합"
"2","소스류","후쿠오카현","2014-12-26","360","불검출","불검출","적합"
"3","소스류","후쿠오카현","2014-12-25","120","불검출","불검출","적합"
"4","캔디류(사탕)","오사카부","2014-10-01","93.6","불검출","불검출","적합"
"5","당류가공품","교토부","2014-10-01","125.4","불검출","불검출","적합"
"6","소스류","가나가와현","2015-01-07","461.68","불검출","불검출","적합"
"7","청주","니가타현","2015-01-07","216","불검출","불검출","적합"
"8","기타설탕","오사카부","2014-11-26","2,400","불검출","불검출","적합"
"9","혼합제제","오사카부","2014-12-01","12","불검출","불검출","적합"
"10","곡류가공품","효고현","2014-12-11","120","불검출","불검출","적합"
"11","국수","구마모토현","2015-01-13","191.95","불검출","불검출","적합"
"12","장류절임","가고시마현","2015-01-05","780","불검출","불검출","적합"
