"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","94건","","126,830","","",""
"1","무기질/바나바잎
추출물","지바현","2014-11-01","110","불검출","불검출","적합"
"2","인스턴트커피","미에현","2014-10-22","450","불검출","불검출","적합"
"3","기타가공품","훗카이도","2014-12-18","2,944","불검출","불검출","적합"
"4","건어포류","오사카부","2015-01-07","300","불검출","불검출","적합"
"5","전분가공품","효고현","2014-12-25","200","불검출","불검출","적합"
"6","청국장","도쿄도","2014-12-17","1,332","불검출","불검출","적합"
"7","카레","나가노현","2014-11-14","2,800","불검출","불검출","적합"
"8","카레","나가노현","2014-11-11","800","불검출","불검출","적합"
"9","카레","나가노현","2014-11-12","1,800","불검출","불검출","적합"
"10","청주","구마모토현","2014-12-13","36","불검출","불검출","적합"
"11","조미건어포류","에히메현","2015-01-15","10.5","불검출","불검출","적합"
"12","준초콜릿","효고현","2014-10-29","276","불검출","불검출","적합"
