"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"13","카레","나가노현","2014-12-04","4,455","불검출","불검출","적합"
"14","카레","나가노현","2014-12-19","4,455","불검출","불검출","적합"
"15","드레싱","사가현","2015-01-08","6,480","불검출","불검출","적합"
"16","과자(스낵과자)","나가노현","2015-01-11","1,344","불검출","불검출","적합"
"17","청주","도치기현","2014-12-26","15,876","불검출","불검출","적합"
"18","복합조미식품","미에현","2014-12-08","51.12","불검출","불검출","적합"
"19","소스류","히로시마현","2014-12-10","486","불검출","불검출","적합"
"20","소스류","오사카부","2015-01-09","1,200","불검출","불검출","적합"
"21","수산물가공품","오사카부","2015-01-05","75","불검출","불검출","적합"
"22","수산물가공품","오사카부","2015-01-13","200","불검출","불검출","적합"
"23","혼합제제","효고현","2015-01-21","102","불검출","불검출","적합"
"24","향신료조제품","도쿄도","2014-10-17","6.05","불검출","불검출","적합"
"25","복합조미식품","이바라키현","2014-12-06","28.8","불검출","불검출","적합"
"26","복합조미식품","이바라키현","2014-11-27","19.8","불검출","불검출","적합"
"27","복합조미식품","이바라키현","2014-11-24","16.8","불검출","불검출","적합"
"28","곡류가공품","후쿠시마현","2014-12-03","150","불검출","불검출","적합"
"29","국수","사이타마현","2014-12-25","2,400","불검출","불검출","적합"
"30","혼합제제","시가현","2015-01-22","25","불검출","불검출","적합"
"31","혼합제제","시가현","2015-01-23","75","불검출","불검출","적합"
"32","혼합제제","시가현","2015-01-23","75","불검출","불검출","적합"
"33","혼합제제","시가현","2015-01-22","25","불검출","불검출","적합"
"34","혼합제제","효고현","2015-01-21","34","불검출","불검출","적합"
"35","혼합제제","효고현","2015-01-20","34","불검출","불검출","적합"
"36","기타천연착향료","효고현","2015-01-20","30","불검출","불검출","적합"
"37","혼합제제","기후현","2015-01-20","0.9","불검출","불검출","적합"
"38","혼합제제","가나가와현","2015-01-07","165","불검출","불검출","적합"
"39","복합조미식품","가나가와현","2014-10-29","400","불검출","불검출","적합"
"40","트랜스글루타미나
아제","가나가와현","2014-11-08","80","불검출","불검출","적합"
"41","복합조미식품","오이타현","2014-08-22","350","불검출","불검출","적합"
