"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 75건","","","","306,892","","",""
"1","효모추출물제품","가나가와현","2017-07-04","230","불검출","불검출","적합"
"2","청주","교토부","2017-07-21","8,294","불검출","불검출","적합"
"3","청주","교토부","2017-07-07","1,200","불검출","불검출","적합"
"4","된장","도쿠시마현","2017-07-25","300","불검출","불검출","적합"
"5","환자용식품","야마구치현","2017-07-31","600","불검출","불검출","적합"
"6","기타장류","나가사키현","2017-06-27","336","불검출","불검출","적합"
"7","캔디류(젤리)","군마현","2017-07-05","11,232","불검출","불검출","적합"
"8","혼합제제","가나가와현","2017-08-01","100","불검출","불검출","적합"
"9","과자(비스킷)","아이치현","2017-07-21","21","불검출","불검출","적합"
"10","탄산음료","사가현","2017-07-15","5,717","불검출","불검출","적합"
"11","카레","니가타현","2017-06-02","3,000","불검출","불검출","적합"
"12","카레","니가타현","2017-05-29","3,600","불검출","불검출","적합"
"13","카레","니가타현","2017-05-11","2,880","불검출","불검출","적합"
