"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 84건","","","","798,899","","",""
"1","기타가공품","이바라키현","2017-04-14","39","불검출","불검출","적합"
"2","기타가공품","이바라키현","2017-07-24","27,000","불검출","불검출","적합"
"3","과자(스낵과자)","미에현","2017-08-02","6,345","불검출","불검출","적합"
"4","과자(스낵과자)","미에현","2017-07-20","6,345","불검출","불검출","적합"
"5","과자(비스킷)","이시카와현","2017-07-27","512","불검출","불검출","적합"
"6","소스류","에히메현","2017-08-08","1,920","불검출","불검출","적합"
"7","소스류","에히메현","2017-06-07","9,071","불검출","불검출","적합"
"8","과자(비스킷)","이시카와현","2017-07-10","694","불검출","불검출","적합"
"9","과자(비스킷)","이시카와현","2017-06-06","697","불검출","불검출","적합"
"10","혼합제제","시가현","2017-08-02","1,980","불검출","불검출","적합"
"11","글리세린","효고현","2017-03-01","750","불검출","불검출","적합"
"12","기타가공품","훗카이도","2017-05-17","400","불검출","불검출","적합"
