"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 97건","","","","1,136,869","","",""
"1","맥주","오이타현","2017-07-27","115,368","불검출","불검출","적합"
"2","맥주","오이타현","2017-07-18","165,600","불검출","불검출","적합"
"3","금박","이시카와현","2017-08-10","0.3","불검출","불검출","적합"
"4","복합조미식품","가나가와현","2017-06-08","18,338","불검출","불검출","적합"
"5","국","오사카부","2017-07-31","50","불검출","불검출","적합"
"6","볶은커피","효고현","2017-08-04","480","불검출","불검출","적합"
"7","기타코코아가공품","야마나시현","","7,757","불검출","불검출","적합"
"8","빵류(그외 빵류)","돗토리현","2017-08-04","558","불검출","불검출","적합"
"9","건어포류","에히메현","2017-07-17","540","불검출","불검출","적합"
"10","볶은커피","오사카부","2017-05-25","2,661","불검출","불검출","적합"
"11","과자(스낵과자)","야마가타현","2017-07-14","370","불검출","불검출","적합"
"12","과자(스낵과자)","야마가타현","2017-07-12","273","불검출","불검출","적합"
"13","과자(스낵과자)","야마가타현","2017-07-12","201","불검출","불검출","적합"
