"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 95건","","","","651,163","","",""
"1","복합조미식품","이바라키현","2017-07-14","105","불검출","불검출","적합"
"2","소스류","지바현","2017-07-28","39","불검출","불검출","적합"
"3","소스류","훗카이도","2017-07-09","3,200","불검출","불검출","적합"
"4","과자(스낵과자)","아이치현","2017-08-22","360","불검출","불검출","적합"
"5","과자(스낵과자)","니가타현","2017-08-17","171","불검출","불검출","적합"
"6","과자(스낵과자)","도쿠시마현","2017-08-21","600","불검출","불검출","적합"
"7","캔디류(양갱)","아이치현","2017-07-28","432","불검출","불검출","적합"
"8","과자(스낵과자)","이바라키현","2017-08-18","144","불검출","불검출","적합"
"9","기타천연착향료","오사카부","2017-08-29","45","불검출","불검출","적합"
"10","혼합제제","오사카부","2017-08-29","30","불검출","불검출","적합"
"11","튀김식품","히로시마현","2017-08-08","1,334","불검출","불검출","적합"
"12","튀김식품","히로시마현","2017-08-10","870","불검출","불검출","적합"
"13","혼합제제","오사카부","2017-08-29","100","불검출","불검출","적합"
