"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 91건","","","","424,843","","",""
"1","소스류","히로시마현","2017-07-29","210","불검출","불검출","적합"
"2","소스류","히로시마현","2017-08-08","210","불검출","불검출","적합"
"3","소스류","사이타마현","2017-08-04","1,264","불검출","불검출","적합"
"4","청주","효고현","2017-08-01","180","불검출","불검출","적합"
"5","청주","효고현","2017-08-03","600","불검출","불검출","적합"
"6","식염절임","야마가타현","2017-08-08","1,650","불검출","불검출","적합"
"7","기타천연착향료","사이타마현","2017-08-23","72","불검출","불검출","적합"
"8","혼합제제","오카야마현","2017-08-28","60","불검출","불검출","적합"
"9","혼합제제","오카야마현","2017-08-25","60","불검출","불검출","적합"
"10","소스류","도치기현","2017-07-13","2,574","불검출","불검출","적합"
"11","기타식초","도치기현","2017-07-11","3,326","불검출","불검출","적합"
"12","소스류","군마현","2017-07-20","1,411","불검출","불검출","적합"
"13","캔디류(사탕)","시즈오카현","2017-06-02","371","불검출","불검출","적합"
