"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","94","","199,615","","",""
"1","캔디류(사탕)","아이치현","2015-01-23","194.4","불검출","불검출","적합"
"2","캔디류(사탕)","아이치현","2015-01-23","240","불검출","불검출","적합"
"3","혼합음료","사가현","2014-10-09","173","불검출","불검출","적합"
"4","과자(스낵과자)","시가현","2015-01-22","278.4","불검출","불검출","적합"
"5","캔디류(사탕)","나가노현","2014-11-16","330","불검출","불검출","적합"
"6","캔디류(사탕)","나가노현","2014-11-16","330","불검출","불검출","적합"
"7","혼합장","효고현","2014-09-22","680","불검출","불검출","적합"
"8","맥주","구마모토현","2015-01-11","53,756.8","불검출","불검출","적합"
"9","글리세린지방산에
스테르","효고현","2014-12-04","40","불검출","불검출","적합"
"10","글리세린지방산에
스테르","미에현","2014-12-24","208","불검출","불검출","적합"
"11","국수","아이치현","2015-01-09","2,217.6","불검출","불검출","적합"
"12","혼합제제","효고현","2015-01-27","68","불검출","불검출","적합"
