"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","82","","724,013","","",""
"1","글리세린지방산에
스테르","미에현","2015-01-26","400","불검출","불검출","적합"
"2","청주","돗토리현","2015-01-26","468","불검출","불검출","적합"
"3","청주","돗토리현","2015-01-27","54","불검출","불검출","적합"
"4","청주","돗토리현","2015-01-28","270","불검출","불검출","적합"
"5","청주","와카야마현","2014-12-22","43.2","불검출","불검출","적합"
"6","혼합제제","오사카부","2014-11-14","208","불검출","불검출","적합"
"7","과자(스낵과자)","니가타현","2015-01-13","21","불검출","불검출","적합"
"8","과자(스낵과자)","니가타현","2015-01-15","59","불검출","불검출","적합"
"9","과자(스낵과자)","니가타현","2015-01-14","22","불검출","불검출","적합"
"10","소스류","아이치현","2014-12-05","24","불검출","불검출","적합"
"11","과자(스낵과자)","니가타현","2015-01-16","26","불검출","불검출","적합"
"12","과자(스낵과자)","니가타현","2015-01-09","143","불검출","불검출","적합"
