"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","80","","55,236","","",""
"1","클로렐라 제품","야마나시현","2015-01-13","161","불검출","불검출","적합"
"2","건어포류","가고시마현","2015-01-09","1,170","불검출","불검출","적합"
"3","혼합제제","효고현","2015-01-27","50","불검출","불검출","적합"
"4","청주","야마구치현","2015-01-13","43.2","불검출","불검출","적합"
"5","캔디류(양갱)","도쿄도","2015-01-10","28.8","불검출","불검출","적합"
"6","혼합음료","효고현","2015-01-14","60","불검출","불검출","적합"
"7","청국장","도쿄도","2014-12-04","257.12","불검출","불검출","적합"
"8","혼합제제","지바현","2015-01-08","200","불검출","불검출","적합"
"9","건어포류","오사카부","2015-01-13","300","불검출","불검출","적합"
"10","캔디류(사탕)","도쿄도","2015-01-19","27","불검출","불검출","적합"
"11","청주","후쿠이현","2015-01-07","43.2","불검출","불검출","적합"
"12","글리세린지방산에
스테르","미에현","2014-12-09","200","불검출","불검출","적합"
