"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 117건","","","","699,592","","",""
"1","복합조미식품","사이타마현","2019-07-17","972","불검출","불검출","적합"
"2","글리세린지방산에
스테르","오사카부","2019-05-24","40","불검출","불검출","적합"
"3","소스","에히메현","2019-07-27","3,960","불검출","불검출","적합"
"4","복합조미식품","에히메현","2019-07-23","1,000","불검출","불검출","적합"
"5","소스","효고현","2019-06-10","22","불검출","불검출","적합"
"6","향신료조제품","도쿄도","2019-07-23","554","불검출","불검출","적합"
"7","시클로덱스트린시
럽","시즈오카현","2019-06-14","60","불검출","불검출","적합"
"8","시 클 로 덱 스 트 린
(알파,베타,감마)","시즈오카현","2019-01-23","500","불검출","불검출","적합"
"9","시클로덱스트린시
럽","시즈오카현","2019-04-19","8,000","불검출","불검출","적합"
"10","양조간장","군마현","2019-07-04","18,816","불검출","불검출","적합"
"11","탄산음료","사가현","2019-07-14","60,180","불검출","불검출","적합"
"12","황산아연","나가노현","2019-07-02","1,000","불검출","불검출","적합"
"13","합성향료","도쿄도","2019-07-17","25","불검출","불검출","적합"
