"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 127건","","","","497,213","","",""
"1","캔디류","아이치현","2019-07-01","80","불검출","불검출","적합"
"2","소스","후쿠오카현","2019-06-25","144","불검출","불검출","적합"
"3","소스","후쿠오카현","2019-07-02","210","불검출","불검출","적합"
"4","혼합제제","시가현","2019-07-10","1,602","불검출","불검출","적합"
"5","과자","도치기현","2019-07-02","72","불검출","불검출","적합"
"6","과자","기후현","2019-07-03","25","불검출","불검출","적합"
"7","전분가공품","오사카부","2019-07-11","4,000","불검출","불검출","적합"
"8","전분가공품","시즈오카현","2019-07-08","84","불검출","불검출","적합"
"9","혼합제제","사이타마현","2019-07-26","144","불검출","불검출","적합"
"10","개별인정형건강기
능식품","도쿄도","2019-06-19","60","불검출","불검출","적합"
"11","혼합식용유","오사카부","2019-05-19","128","불검출","불검출","적합"
"12","양조간장","아이치현","2019-07-03","1,080","불검출","불검출","적합"
"13","기타천연착향료","오카야마현","2019-07-16","45","불검출","불검출","적합"
"14","혼합제제","사이타마현","2019-07-12","304","불검출","불검출","적합"
