"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","91","","224,786","","",""
"1","건어포류","가가와현","2015-02-16","200","불검출","불검출","적합"
"2","갈락토올리고당","훗카이도","2015-01-29","300","불검출","불검출","적합"
"3","캔디류(사탕)","아이치현","2015-02-24","1,980","불검출","불검출","적합"
"4","냉면","효고현","2015-01-23","2,400","불검출","불검출","적합"
"5","즉석조리식품","지바현","2015-02-02","28.68","불검출","불검출","적합"
"6","수산물가공품","교토부","2015-02-19","120","불검출","불검출","적합"
"7","빵류(케이크)","히로시마현","2015-02-17","72","불검출","불검출","적합"
"8","과자(스낵과자)","지바현","2015-01-27","432","불검출","불검출","적합"
"9","빵류(케이크)","히로시마현","2015-02-18","72","불검출","불검출","적합"
"10","빵류(카스텔라)","히로시마현","2015-02-18","78","불검출","불검출","적합"
"11","과자(스낵과자)","지바현","2015-01-26","432","불검출","불검출","적합"
"12","소스류","아이치현","2014-12-11","12","불검출","불검출","적합"
