"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"131","조미된장","나가사키현","2017-10-25","300","불검출","불검출","적합"
"132","밀크초콜릿","훗카이도","2017-11-01","1,425","불검출","불검출","적합"
"133","발효식초","오사카부","2017-10-02","216","불검출","불검출","적합"
"134","볶은커피","미에현","2017-10-31","210","불검출","불검출","적합"
"135","초콜릿","훗카이도","2017-11-01","35","불검출","불검출","적합"
"136","볶은커피","미에현","2017-10-31","84","불검출","불검출","적합"
"137","밀크초콜릿","훗카이도","2017-11-01","56","불검출","불검출","적합"
"138","초콜릿가공품","훗카이도","2017-11-01","72","불검출","불검출","적합"
"139","소스류","지바현","2017-10-02","300","불검출","불검출","적합"
"140","유탕면류","후쿠오카현","2017-09-25","243","불검출","불검출","적합"
"141","유탕면류","후쿠오카현","2017-10-15","231","불검출","불검출","적합"
"142","청주","효고현","2017-11-09","162","불검출","불검출","적합"
"143","식염절임","야마가타현","2017-10-27","750","불검출","불검출","적합"
"144","소주","효고현","2017-09-27","173","불검출","불검출","적합"
"145","소스류","사이타마현","2017-10-05","330","불검출","불검출","적합"
"146","향미유","사이타마현","2017-10-18","70","불검출","불검출","적합"
"147","청주","효고현","2017-11-09","65","불검출","불검출","적합"
"148","양조간장","효고현","2017-10-16","13,799","불검출","불검출","적합"
"149","국수","구마모토현","2017-10-30","4,681","불검출","불검출","적합"
"150","발효식초","도치기현","2017-09-12","51","불검출","불검출","적합"
"151","소스류","도치기현","2017-09-13","8,737","불검출","불검출","적합"
"152","소스류","도치기현","2017-10-10","515","불검출","불검출","적합"
"153","혼합제제","가나가와현","2017-10-30","3,000","불검출","불검출","적합"
