"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 158건","","","","614,082","","",""
"1","두류가공품","나가노현","2017-09-21","3,024","불검출","불검출","적합"
"2","된장","도쿠시마현","2017-10-27","240","불검출","불검출","적합"
"3","볶은커피","사이타마현","2017-07-18","54","불검출","불검출","적합"
"4","볶은커피","사이타마현","2017-07-18","63","불검출","불검출","적합"
"5","국수","아키타현","2017-10-19","240","불검출","불검출","적합"
"6","복합조미식품","오사카부","2017-10-10","75","불검출","불검출","적합"
"7","당절임","도쿠시마현","2017-10-06","58","불검출","불검출","적합"
"8","혼합간장","이바라키현","2017-07-25","144","불검출","불검출","적합"
"9","즉석조리식품","니가타현","2017-09-20","975","불검출","불검출","적합"
