"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"108","혼합제제","사이타마현","2017-10-30","54","불검출","불검출","적합"
"109","혼합제제","사이타마현","2017-10-26","36","불검출","불검출","적합"
"110","혼합제제","사이타마현","2017-10-27","108","불검출","불검출","적합"
"111","혼합제제","사이타마현","2017-10-26","200","불검출","불검출","적합"
"112","기타천연착향료","사이타마현","2017-10-26","17","불검출","불검출","적합"
"113","혼합제제","사이타마현","2017-10-30","8","불검출","불검출","적합"
"114","혼합제제","사이타마현","2017-10-26","24","불검출","불검출","적합"
"115","혼합제제","사이타마현","2017-10-25","36","불검출","불검출","적합"
"116","혼합제제","사이타마현","2017-10-26","16","불검출","불검출","적합"
"117","녹차추출물
제품","지바현","2017-09-12","78","불검출","불검출","적합"
"118","공액리놀레산","시즈오카현","2017-09-05","375","불검출","불검출","적합"
"119","전분가공품","가고시마현","2017-10-27","37,000","불검출","불검출","적합"
"120","소스류","후쿠오카현","2017-10-30","2,000","불검출","불검출","적합"
"121","소스류","후쿠오카현","2017-10-27","2,000","불검출","불검출","적합"
"122","소스류","후쿠오카현","2017-10-26","2,000","불검출","불검출","적합"
"123","소스류","후쿠오카현","2017-10-24","300","불검출","불검출","적합"
"124","복합조미식품","후쿠오카현","2017-10-23","300","불검출","불검출","적합"
"125","소스류","후쿠오카현","2017-10-26","120","불검출","불검출","적합"
"126","국수","구마모토현","2017-10-21","598","불검출","불검출","적합"
"127","소스류","후쿠오카현","2017-10-23","792","불검출","불검출","적합"
"128","국수","구마모토현","2017-10-21","929","불검출","불검출","적합"
"129","유탕면류","나가사키현","2017-11-06","20","불검출","불검출","적합"
"130","초콜릿가공품","훗카이도","2017-11-01","50","불검출","불검출","적합"
