"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
50Bq/Kg)","요오드
(기준:
100Bq/Kg)","판정"
"합계","","-","-","2,929","-","-","-"
"1","가공유크림","오사카부","2019-05-01","120","불검출","불검출","적합"
"2","가공유크림","오사카부","2019-05-01","120","불검출","불검출","적합"
"3","가공유크림","오사카부","2019-05-01","150","불검출","불검출","적합"
"4","가공유크림","오사카부","2019-05-01","180","불검출","불검출","적합"
"5","가공치즈","사이타마현","2019-05-01","810","불검출","불검출","적합"
"6","아이스밀크","돗토리현","2019-05-01","184","불검출","불검출","적합"
"7","아이스밀크","돗토리현","2019-05-01","328","불검출","불검출","적합"
"8","아이스밀크","돗토리현","2019-05-01","647","불검출","불검출","적합"
"9","아이스크림","돗토리현","2019-05-01","328","불검출","불검출","적합"
"10","유크림","후쿠오카현","2019-05-01","62","불검출","불검출","적합"
