"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","112","","199,739","","",""
"1","기타천연착향료","이바라키현","2016-06-06","14","불검출","불검출","적합"
"2","캔디류(사탕)","미에현","2016-04-14","1,352","불검출","불검출","적합"
"3","곡류가공품","후쿠오카현","2016-06-15","1,380","불검출","불검출","적합"
"4","수산물가공품","후쿠시마현","2016-06-13","240","불검출","불검출","적합"
"5","혼합제제","사이타마현","2016-06-06","120","불검출","불검출","적합"
"6","청주","효고현","2016-05-18","540","불검출","불검출","적합"
"7","혼합제제","오사카부","2016-06-29","150","불검출","불검출","적합"
"8","혼합제제","사이타마현","2016-05-24","54","불검출","불검출","적합"
"9","혼합제제","오카야마현","2016-05-20","90","불검출","불검출","적합"
"10","과자(스낵과자)","아이치현","2016-06-06","282","불검출","불검출","적합"
"11","혼합제제","오카야마현","2016-05-13","75","불검출","불검출","적합"
"12","청국장","훗카이도","2016-06-03","2,970","불검출","불검출","적합"
"13","마요네즈","효고현","2016-06-04","2,000","불검출","불검출","적합"
