"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 109건","","","","841,571","","",""
"1","기타 주류","효고현","2019-06-12","3,110","불검출","불검출","적합"
"2","액상커피","군마현","2019-06-05","32,256","불검출","불검출","적합"
"3","유탕면","기후현","2019-05-17","78","불검출","불검출","적합"
"4","즉석조리식품","니가타현","2019-05-29","1,240","불검출","불검출","적합"
"5","청주","아키타현","2019-06-14","36","불검출","불검출","적합"
"6","소스","나가노현","2019-05-23","150","불검출","불검출","적합"
"7","즉석조리식품","나가노현","2019-03-27","23","불검출","불검출","적합"
"8","즉석조리식품","나가노현","2019-03-26","25","불검출","불검출","적합"
"9","즉석조리식품","나가노현","2019-05-07","44","불검출","불검출","적합"
"10","즉석조리식품","나가노현","2019-04-16","13","불검출","불검출","적합"
"11","조림류","나가노현","2019-04-01","21","불검출","불검출","적합"
"12","조림류","나가노현","2019-04-08","23","불검출","불검출","적합"
"13","즉석조리식품","나가노현","2019-04-29","46","불검출","불검출","적합"
"14","기타 식용유지가공품","가나가와현","2019-06-05","25","불검출","불검출","적합"
"15","유탕면","기후현","2019-05-17","67","불검출","불검출","적합"
