"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","109건","","196,433","","",""
"1","소스류","미에현","2014-07-23","140","불검출","불검출","적합"
"2","빵류(그외 빵류)","훗카이도","2014-07-30","135","불검출","불검출","적합"
"3","빵류(그외 빵류)","훗카이도","2014-08-05","100","불검출","불검출","적합"
"4","빵류(그외 빵류)","훗카이도","2014-08-05","100","불검출","불검출","적합"
"5","빵류(그외 빵류)","훗카이도","2014-08-25","100","불검출","불검출","적합"
"6","빵류(그외 빵류)","훗카이도","2014-08-24","117","불검출","불검출","적합"
"7","빵류(그외 빵류)","훗카이도","2014-08-12","117","불검출","불검출","적합"
"8","소스류","히로시마현","2014-10-04","660","불검출","불검출","적합"
"9","소스류","히로시마현","2014-10-08","2,640","불검출","불검출","적합"
"10","과자(쿠키)","도쿄도","2014-09-19","7.9","불검출","불검출","적합"
"11","금박","이시카와현","2014-10-21","0.18","불검출","불검출","적합"
"12","기타설탕","오사카부","2014-09-18","3,000","불검출","불검출","적합"
"13","캔디류(젤리)","아이치현","2014-09-24","474.6","불검출","불검출","적합"
"14","글루콘산아연","도쿠시마현","2013-12-18","50","불검출","불검출","적합"
"15","글루콘산동","도쿠시마현","2014-06-27","50","불검출","불검출","적합"
"16","염화마그네슘","오카야마현","2014-09-25","12,000","불검출","불검출","적합"
"17","혼합제제","오카야마현","2014-10-09","960","불검출","불검출","적합"
