"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","126건","","614,755","","",""
"1","혼합제제","효고현","2014-10-15","17","불검출","불검출","적합"
"2","캔디류(사탕)","아이치현","2014-10-10","1,344","불검출","불검출","적합"
"3","캔디류(사탕)","아이치현","2014-10-10","4,320","불검출","불검출","적합"
"4","캔디류(사탕)","아이치현","2014-10-09","2,376","불검출","불검출","적합"
"5","과자(스낵과자)","아이치현","2014-10-06","414","불검출","불검출","적합"
"6","과자(스낵과자)","아이치현","2014-10-09","468","불검출","불검출","적합"
"7","탄산음료","오사카부","2014-10-03","2,100","불검출","불검출","적합"
"8","과자(스낵과자)","아이치현","2014-09-25","93.6","불검출","불검출","적합"
"9","과자(스낵과자)","아이치현","2014-09-30","124.2","불검출","불검출","적합"
"10","소스류","훗카이도","2014-08-26","72","불검출","불검출","적합"
"11","튀김식품","오이타현","2014-10-07","400","불검출","불검출","적합"
"12","곡류가공품","오사카부","2014-09-01","200","불검출","불검출","적합"
"13","전분가공품","오사카부","2014-10-02","260","불검출","불검출","적합"
"14","조미건어포류","아오모리현","2014-09-24","3.5","불검출","불검출","적합"
"15","수산물가공품","효고현","2014-10-07","21.6","불검출","불검출","적합"
"16","가공두부","오사카부","2014-08-29","420","불검출","불검출","적합"
"17","볶은커피","오사카부","2014-10-09","1,382.4","불검출","불검출","적합"
