"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","71건","","138,204","","",""
"1","과자(스낵과자)","나가노현","2014-07-21","499.2","불검출","불검출","적합"
"2","음료베이스","사이타마현","2014-08-21","50.4","불검출","불검출","적합"
"3","캔디류(캐러멜)","도치기현","2014-09-05","696","불검출","불검출","적합"
"4","건어포류","가고시마현","2014-09-26","825","불검출","불검출","적합"
"5","청주","이와테현","2014-09-29","172.8","불검출","불검출","적합"
"6","혼합제제","오사카부","2014-09-15","40","불검출","불검출","적합"
"7","카레","아이치현","2014-08-02","2,400","불검출","불검출","적합"
"8","카레","나라현","2014-08-12","400","불검출","불검출","적합"
"9","국수","아이치현","2014-09-29","2,217.6","불검출","불검출","적합"
"10","과자(스낵과자)","아이치현","2014-09-29","600","불검출","불검출","적합"
"11","혼합제제","효고현","2014-10-10","51","불검출","불검출","적합"
"12","혼합제제","효고현","2014-10-10","34","불검출","불검출","적합"
"13","혼합제제","효고현","2014-10-10","22","불검출","불검출","적합"
"14","혼합제제","효고현","2014-10-14","22","불검출","불검출","적합"
"15","초콜릿가공품","도쿄도","2014-09-17","5.1","불검출","불검출","적합"
"16","초콜릿가공품","도쿄도","2014-09-17","6","불검출","불검출","적합"
"17","준초콜릿","도쿄도","2014-09-17","6.3","불검출","불검출","적합"
