"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 158건","","","","1,398,157","","",""
"1","기타가공품","미에현","2018-08-25","120","불검출","불검출","적합"
"2","혼합제제","효고현","2018-09-20","17","불검출","불검출","적합"
"3","맥주","후쿠오카현","2018-08-24","558,960","불검출","불검출","적합"
"4","기타발효음료","니가타현","2018-09-07","3,000","불검출","불검출","적합"
"5","기타 농산가공품","가나가와현","2018-09-21","144","불검출","불검출","적합"
"6","조미액젓","후쿠오카현","2018-05-11","126","불검출","불검출","적합"
"7","청주","이와테현","2018-03-05","173","불검출","불검출","적합"
"8","과·채가공품","시가현","2018-09-21","50","불검출","불검출","적합"
"9","청주","이와테현","2018-04-09","173","불검출","불검출","적합"
"10","청주","이와테현","2018-06-26","259","불검출","불검출","적합"
"11","소스","히로시마현","2018-07-11","270","불검출","불검출","적합"
"12","소스","히로시마현","2018-08-08","72","불검출","불검출","적합"
"13","혼합제제","효고현","2018-09-17","4,000","불검출","불검출","적합"
"14","캔디류","오사카부","2018-09-11","792","불검출","불검출","적합"
