"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","64","","143,016","","",""
"1","이온교환수지","후쿠오카현","2015-11-10","35,796.46","불검출","불검출","적합"
"2","청주","구마모토현","2016-01-15","86.4","불검출","불검출","적합"
"3","혼합제제","오카야마현","2015-04-03","18","불검출","불검출","적합"
"4","혼합제제","지바현","2016-01-12","500","불검출","불검출","적합"
"5","캔디류(사탕)","시가현","2015-05-16","871.52","불검출","불검출","적합"
"6","캔디류(사탕)","시가현","2016-01-19","744.48","불검출","불검출","적합"
"7","국수","사이타마현","2016-01-19","1,800","불검출","불검출","적합"
"8","농산물조림","야마가타현","2015-12-12","960","불검출","불검출","적합"
"9","전분가공품","오사카부","2016-01-08","1,400","불검출","불검출","적합"
"10","소스류","사이타마현","2015-11-26","100.8","불검출","불검출","적합"
"11","튀김식품","오이타현","2016-01-06","750","불검출","불검출","적합"
"12","튀김식품","히로시마현","2016-01-20","21.12","불검출","불검출","적합"
"13","수산물가공품","히로시마현","2016-01-20","47.2","불검출","불검출","적합"
