"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 115건","","","","285,232","","",""
"1","캔디류","아이치현","2019-04-01","185","불검출","불검출","적합"
"2","캔디류","아이치현","2019-03-12","185","불검출","불검출","적합"
"3","당류가공품","효고현","2019-04-17","224","불검출","불검출","적합"
"4","밀가루","후쿠오카현","2019-05-01","3,000","불검출","불검출","적합"
"5","밀가루","후쿠오카현","2019-04-17","2,000","불검출","불검출","적합"
"6","곡류가공품","오사카부","2019-04-19","20","불검출","불검출","적합"
"7","과자","지바현","2019-02-27","248","불검출","불검출","적합"
"8","기타설탕","이바라키현","2019-03-12","18","불검출","불검출","적합"
"9","당류가공품","효고현","2019-04-22","60","불검출","불검출","적합"
"10","소스","가나가와현","2019-04-17","1,162","불검출","불검출","적합"
"11","개별인정형
건강기능식품","훗카이도","2018-11-16","180","불검출","불검출","적합"
"12","혼합제제","사이타마현","2019-05-09","108","불검출","불검출","적합"
"13","혼합제제","도쿄도","2019-04-18","50","불검출","불검출","적합"
"14","혼합제제","오사카부","2019-05-10","150","불검출","불검출","적합"
