"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","120건","","118,725","","",""
"1","트랜스글루타미
나아제","가나가와현","2014-07-05","10","불검출","불검출","적합"
"2","산화마그네슘","도쿠시마현","2014-10-21","500","불검출","불검출","적합"
"3","볶은커피","시즈오카현","2014-08-27","32.4","불검출","불검출","적합"
"4","볶은커피","시즈오카현","2014-09-16","32.4","불검출","불검출","적합"
"5","소스류","나가사키현","2014-10-10","7,524","불검출","불검출","적합"
"6","소스류","나가사키현","2014-10-24","3,554.7","불검출","불검출","적합"
"7","소스류","나가사키현","2014-10-21","1,279.08","불검출","불검출","적합"
"8","소스류","나가사키현","2014-10-25","1,266.84","불검출","불검출","적합"
"9","소스류","나가사키현","2014-10-25","1,177","불검출","불검출","적합"
"10","소스류","나가사키현","2014-10-18","7,516.6","불검출","불검출","적합"
"11","소스류","나가사키현","2014-10-23","1,319.88","불검출","불검출","적합"
"12","소스류","나가사키현","2014-10-04","100","불검출","불검출","적합"
"13","자몽종자추출물","지바현","2014-10-06","2,000","불검출","불검출","적합"
"14","볶은커피","시즈오카현","2014-10-07","23","불검출","불검출","적합"
"15","볶은커피","효고현","2014-06-05","80","불검출","불검출","적합"
"16","볶은커피","효고현","2014-08-06","67.2","불검출","불검출","적합"
"17","볶은커피","효고현","2014-08-07","76.8","불검출","불검출","적합"
