"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 129건","","","","274,386","","",""
"1","기타수산물가공품","아이치현","2018-01-11","16,000","불검출","불검출","적합"
"2","당류가공품","교토부","2018-01-17","308","불검출","불검출","적합"
"3","소스","후쿠오카현","2018-01-15","6,643","불검출","불검출","적합"
"4","당류가공품","교토부","2018-01-19","183","불검출","불검출","적합"
"5","기타수산물가공품","후쿠시마현","2018-01-26","540","불검출","불검출","적합"
"6","어묵","야마구치현","2018-01-29","2,000","불검출","불검출","적합"
"7","혼합제제","이바라키현","2018-02-02","15","불검출","불검출","적합"
"8","혼합제제","이바라키현","2018-02-02","30","불검출","불검출","적합"
"9","혼합제제","이바라키현","2018-02-02","330","불검출","불검출","적합"
"10","소스","후쿠시마현","2018-01-15","240","불검출","불검출","적합"
"11","과자","아이치현","2018-01-23","176","불검출","불검출","적합"
"12","양조간장","효고현","2018-02-05","702","불검출","불검출","적합"
"13","양조간장","효고현","2018-01-18","126","불검출","불검출","적합"
