"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"65","빵류(카스텔라)","야마나시현","2017-09-07","86","불검출","불검출","적합"
"66","무기질","도야마현","2017-09-05","97","불검출","불검출","적합"
"67","당류가공품","오사카부","2017-08-21","178","불검출","불검출","적합"
"68","글리세린지방산
에스테르","미에현","2017-05-26","128","불검출","불검출","적합"
"69","캔디류(사탕)","아이치현","2017-08-18","630","불검출","불검출","적합"
"70","캔디류(사탕)","아이치현","2017-08-21","384","불검출","불검출","적합"
"71","캔디류(사탕)","아이치현","2017-08-18","317","불검출","불검출","적합"
"72","캔디류(사탕)","아이치현","2017-08-22","240","불검출","불검출","적합"
"73","캔디류(사탕)","미에현","2017-07-06","845","불검출","불검출","적합"
"74","캔디류(사탕)","미에현","2017-07-06","422","불검출","불검출","적합"
"75","캔디류(사탕)","아이치현","2017-08-21","240","불검출","불검출","적합"
"76","캔디류(젤리)","아이치현","2017-08-21","128","불검출","불검출","적합"
"77","캔디류(사탕)","아이치현","2017-08-10","97","불검출","불검출","적합"
"78","과자(스낵과자)","니가타현","2017-08-17","204","불검출","불검출","적합"
"79","혼합제제","시가현","2017-08-22","10","불검출","불검출","적합"
"80","혼합제제","시가현","2017-09-05","25","불검출","불검출","적합"
"81","과자(스낵과자)","니가타현","2017-08-16","208","불검출","불검출","적합"
"82","과자(크래커)","니가타현","2017-08-05","168","불검출","불검출","적합"
"83","소스류","오사카부","2017-09-06","1,140","불검출","불검출","적합"
"84","양조간장","오사카부","2017-09-12","540","불검출","불검출","적합"
"85","향신료조제품(고
추냉이가공품)","미야기현","2017-07-26","280","불검출","불검출","적합"
"86","캔디류(사탕)","후쿠시마현","2017-08-31","108","불검출","불검출","적합"
