"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 111건","","","","147,152","","",""
"1","볶은커피","사이타마현","2017-07-17","250","불검출","불검출","적합"
"2","볶은커피","효고현","2017-07-07","15","불검출","불검출","적합"
"3","볶은커피","효고현","2017-08-01","40","불검출","불검출","적합"
"4","인스턴트커피","오사카부","2017-07-10","108","불검출","불검출","적합"
"5","인스턴트커피","오사카부","2017-07-14","108","불검출","불검출","적합"
"6","액상커피","효고현","2017-08-03","750","불검출","불검출","적합"
"7","액상커피","시가현","2017-08-09","21,600","불검출","불검출","적합"
"8","액상커피","효고현","2017-08-09","11,100","불검출","불검출","적합"
"9","액상커피","시가현","2017-08-23","18,000","불검출","불검출","적합"
"10","식물성크림","도치기현","2017-08-08","24","불검출","불검출","적합"
