"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"38","캔디류(사탕)","미에현","2017-08-24","507","불검출","불검출","적합"
"39","조미건어포류","훗카이도","2017-07-29","13","불검출","불검출","적합"
"40","초콜릿가공품","후쿠오카현","2017-09-11","5,077","불검출","불검출","적합"
"41","캔디류(사탕)","미에현","2017-08-24","422","불검출","불검출","적합"
"42","과.채음료","후쿠오카현","2017-08-16","23","불검출","불검출","적합"
"43","조미건어포류","훗카이도","2017-07-31","13","불검출","불검출","적합"
"44","고형차","도야마현","2017-08-19","1,130","불검출","불검출","적합"
"45","혼합제제","시가현","2017-08-22","50","불검출","불검출","적합"
"46","고형차","도야마현","2017-08-30","851","불검출","불검출","적합"
"47","과자(크래커)","시즈오카현","2017-08-01","99","불검출","불검출","적합"
"48","과자(스낵과자)","도쿄도","2017-08-30","198","불검출","불검출","적합"
"49","캔디류(사탕)","아이치현","2017-07-31","510","불검출","불검출","적합"
"50","빵류(그외 빵류)","훗카이도","2017-08-25","1,000","불검출","불검출","적합"
"51","복합조미식품","나라현","2017-08-19","150","불검출","불검출","적합"
"52","과.채가공품","훗카이도","2017-07-04","14","불검출","불검출","적합"
"53","소스류","도치기현","2017-08-04","450","불검출","불검출","적합"
"54","글루타미나아제","아이치현","2017-09-04","111","불검출","불검출","적합"
"55","혼합제제","시가현","2017-09-05","10","불검출","불검출","적합"
"56","과.채가공품","훗카이도","2017-07-29","10","불검출","불검출","적합"
"57","소스류","도치기현","2017-08-08","270","불검출","불검출","적합"
"58","혼합제제","시가현","2017-09-05","25","불검출","불검출","적합"
"59","소스류","히로시마현","2017-09-01","720","불검출","불검출","적합"
"60","소스류","도치기현","2017-07-13","12,355","불검출","불검출","적합"
"61","국수","효고현","2017-07-21","288","불검출","불검출","적합"
"62","드레싱","사가현","2017-06-30","1,669","불검출","불검출","적합"
"63","청주","이바라키현","2017-08-28","8,748","불검출","불검출","적합"
"64","청국장","이와테현","2017-08-26","1,080","불검출","불검출","적합"
