"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"87","당류가공품","오사카부","2017-08-26","92","불검출","불검출","적합"
"88","혼합제제","도야마현","2017-08-22","6,950","불검출","불검출","적합"
"89","당류가공품","오사카부","2017-08-26","141","불검출","불검출","적합"
"90","맥주","오이타현","2017-08-23","49,266","불검출","불검출","적합"
"91","국수","효고현","2017-06-06","20","불검출","불검출","적합"
"92","양조간장","기후현","2017-08-11","97","불검출","불검출","적합"
"93","금박","이시카와현","2017-09-08","1","불검출","불검출","적합"
"94","과자(스낵과자)","나가노현","2017-08-23","3,629","불검출","불검출","적합"
"95","소스류","도치기현","2017-07-13","12,355","불검출","불검출","적합"
"96","곡류가공품","아이치현","2017-08-08","38","불검출","불검출","적합"
"97","기타전분","가고시마현","2017-04-03","40","불검출","불검출","적합"
"98","된장","아이치현","2017-08-10","30","불검출","불검출","적합"
"99","국수","아키타현","2017-08-04","23","불검출","불검출","적합"
"100","된장","교토부","2017-08-07","60","불검출","불검출","적합"
"101","혼합장","교토부","2017-08-17","168","불검출","불검출","적합"
"102","맥주","오이타현","2017-08-21","45,080","불검출","불검출","적합"
"103","된장","니가타현","2017-08-17","140","불검출","불검출","적합"
"104","소스류","아이치현","2017-07-18","216","불검출","불검출","적합"
"105","발효식초","도치기현","2017-07-25","400","불검출","불검출","적합"
"106","향신료조제품
(고추냉이가공품)","아이치현","2017-08-03","300","불검출","불검출","적합"
"107","된장","히로시마현","2017-08-19","120","불검출","불검출","적합"
"108","된장","히로시마현","2017-08-19","160","불검출","불검출","적합"
"109","자당지방산에스테르","미에현","2017-06-12","2,880","불검출","불검출","적합"
"110","자당지방산에스테르","미에현","2017-06-22","2,880","불검출","불검출","적합"
"111","혼합제제","오사카부","2017-09-07","34","불검출","불검출","적합"
"112","혼합제제","효고현","2017-09-07","17","불검출","불검출","적합"
