"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"61","초콜릿가공품","오사카부","2017-07-28","178","불검출","불검출","적합"
"62","과자(스낵과자)","고치현","2017-08-03","73","불검출","불검출","적합"
"63","자당지방산에스테르","미에현","2017-05-12","2,880","불검출","불검출","적합"
"64","혼합제제","미에현","2017-06-04","32","불검출","불검출","적합"
"65","폴리글리세린
지방산에스테르","미에현","2017-02-13","300","불검출","불검출","적합"
"66","과자(크래커)","아이치현","2017-07-31","274","불검출","불검출","적합"
"67","폴리글리세린
지방산에스테르","미에현","2017-01-04","306","불검출","불검출","적합"
"68","트랜스글루타미나아제","가나가와현","2017-08-02","370","불검출","불검출","적합"
"69","과자(스낵과자)","고치현","2017-08-04","635","불검출","불검출","적합"
"70","즉석조리식품","사가현","2017-08-10","57","불검출","불검출","적합"
"71","캔디류(젤리)","아이치현","2017-09-05","156","불검출","불검출","적합"
"72","캔디류(젤리)","아이치현","2017-09-06","136","불검출","불검출","적합"
"73","캔디류(젤리)","아이치현","2017-09-06","136","불검출","불검출","적합"
"74","5'-이노신산
이나트륨","미에현","2017-01-08","300","불검출","불검출","적합"
"75","캔디류(젤리)","아이치현","2017-09-04","259","불검출","불검출","적합"
"76","청주","니가타현","2017-08-23","720","불검출","불검출","적합"
"77","소스류","사가현","2017-07-27","66","불검출","불검출","적합"
"78","캔디류(젤리)","아이치현","2017-09-07","271","불검출","불검출","적합"
"79","액상차","후쿠이현","2017-07-06","1,608","불검출","불검출","적합"
"80","국수","효고현","2017-08-25","2,520","불검출","불검출","적합"
"81","카레","나가노현","2017-08-16","604","불검출","불검출","적합"
"82","즉석조리식품","미에현","2017-05-22","202","불검출","불검출","적합"
"83","과자(한과류)","도쿠시마현","2017-08-05","1,050","불검출","불검출","적합"
"84","과자(한과류)","도쿠시마현","2017-08-08","1,225","불검출","불검출","적합"
"85","과자(스낵과자)","아이치현","2017-09-04","1,363","불검출","불검출","적합"
"86","캔디류(사탕)","아이치현","2017-08-10","168","불검출","불검출","적합"
