"검사결과
수입
제조일자
순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"92","소스류","후쿠오카현","2017-08-22","1,036","불검출","불검출","적합"
"93","카레","시즈오카현","2017-08-24","2,398","불검출","불검출","적합"
"94","과자(스낵과자)","니가타현","2017-09-04","1,224","불검출","불검출","적합"
"95","당류가공품","지바현","2017-02-03","298","불검출","불검출","적합"
"96","과자(스낵과자)","아이치현","2017-08-19","800","불검출","불검출","적합"
"97","혼합제제","나가노현","2017-08-09","118","불검출","불검출","적합"
"98","과자(스낵과자)","니가타현","2017-08-30","765","불검출","불검출","적합"
"99","과자(스낵과자)","니가타현","2017-09-01","82","불검출","불검출","적합"
"100","혼합제제","나가노현","2017-03-01","98","불검출","불검출","적합"
"101","캔디류(사탕)","미에현","2017-07-28","127","불검출","불검출","적합"
"102","맥주","후쿠오카현","2017-08-01","359,894","불검출","불검출","적합"
"103","캔디류(사탕)","미에현","2017-08-24","84","불검출","불검출","적합"
"104","백설탕","후쿠오카현","2017-07-08","800","불검출","불검출","적합"
"105","캔디류(사탕)","미에현","2017-07-28","106","불검출","불검출","적합"
"106","기타천연착향료","시가현","2017-09-05","150","불검출","불검출","적합"
"107","기타천연착향료","시가현","2017-09-05","50","불검출","불검출","적합"
"108","혼합제제","시가현","2017-09-05","40","불검출","불검출","적합"
"109","초콜릿가공품","후쿠오카현","2017-09-11","4,704","불검출","불검출","적합"
"110","혼합제제","시가현","2017-09-05","50","불검출","불검출","적합"
"111","유탕면류","가고시마현","2017-09-06","551","불검출","불검출","적합"
"112","가공두부","오사카부","2017-09-06","8,000","불검출","불검출","적합"
"113","가공두부","오사카부","2017-09-06","16,000","불검출","불검출","적합"
"114","국수","나가사키현","2017-09-07","512","불검출","불검출","적합"
"115","청주","이바라키현","2017-08-29","5,270","불검출","불검출","적합"
"116","맥주","후쿠오카현","2017-08-11","48,750","불검출","불검출","적합"
"117","복합조미식품","효고현","2017-07-03","960","불검출","불검출","적합"
"118","소스류","지바현","2017-08-18","3,240","불검출","불검출","적합"
