"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","104","","190,401","","",""
"1","혼합제제","효고현","2015-02-20","30","불검출","불검출","적합"
"2","혼합제제","효고현","2015-02-23","45","불검출","불검출","적합"
"3","혼합제제","효고현","2015-02-18","105","불검출","불검출","적합"
"4","혼합제제","효고현","2015-02-24","15","불검출","불검출","적합"
"5","혼합제제","효고현","2015-02-19","45","불검출","불검출","적합"
"6","혼합제제","효고현","2015-02-23","90","불검출","불검출","적합"
"7","혼합제제","효고현","2015-02-20","15","불검출","불검출","적합"
"8","혼합제제","효고현","2015-02-16","15","불검출","불검출","적합"
"9","고형차","효고현","2015-02-24","7,000","불검출","불검출","적합"
"10","침출차","ETC","2015-01-28","100","불검출","불검출","적합"
"11","혼합제제","오사카부","2015-02-16","100","불검출","불검출","적합"
