"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 173건","","","","669,890","","",""
"1","소스","교토부","2018-02-07","2,394","불검출","불검출","적합"
"2","소스","교토부","2018-02-15","3,062","불검출","불검출","적합"
"3","소스","교토부","2018-01-18","10,965","불검출","불검출","적합"
"4","소스","교토부","2018-02-07","2,394","불검출","불검출","적합"
"5","소스","교토부","2018-02-01","2,460","불검출","불검출","적합"
"6","소스","교토부","2018-01-26","1,040","불검출","불검출","적합"
"7","소스","교토부","2018-02-02","260","불검출","불검출","적합"
"8","소스","교토부","2018-02-14","1,000","불검출","불검출","적합"
"9","캔디류","도쿄도","2018-01-31","165","불검출","불검출","적합"
"10","소스","교토부","2018-02-07","660","불검출","불검출","적합"
"11","캔디류","나라현","2018-02-16","1,858","불검출","불검출","적합"
"12","캔디류","아이치현","2018-02-20","3,240","불검출","불검출","적합"
"13","캔디류","아이치현","2017-12-27","336","불검출","불검출","적합"
