"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 134건","","","","329,369","","",""
"1","볶은커피","시즈오카현","2019-04-26","148","불검출","불검출","적합"
"2","인스턴트커피","에쿠아도르","2018-07-02","2,000","불검출","불검출","적합"
"3","소스","히로시마현","2019-03-18","991","불검출","불검출","적합"
"4","소스","히로시마현","2019-04-05","1,260","불검출","불검출","적합"
"5","소스","히로시마현","2019-04-22","389","불검출","불검출","적합"
"6","청주","니가타현","2019-02-08","41","불검출","불검출","적합"
"7","캔디류","군마현","2019-04-02","1,248","불검출","불검출","적합"
"8","글리세린지방산
에스테르","미에현","2019-02-28","400","불검출","불검출","적합"
"9","캔디류","후쿠시마현","2019-03-03","274","불검출","불검출","적합"
"10","캔디류","도야마현","2019-04-03","73","불검출","불검출","적합"
"11","볶은커피","효고현","2019-04-21","38","불검출","불검출","적합"
"12","기타천연착향료","효고현","2019-05-17","17","불검출","불검출","적합"
"13","혼합제제","효고현","2019-05-14","34","불검출","불검출","적합"
"14","혼합제제","효고현","2019-05-17","51","불검출","불검출","적합"
