"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"16","냉장명태","홋카이도","2015-12-18","3,500","불검출","불검출","적합"
"17","활우렁쉥이","홋카이도","2015-12-18","7,551","불검출","불검출","적합"
"18","냉장갈치","오이타현","2015-12-18","385","불검출","불검출","적합"
"19","냉장갈치","야마구치현","2015-12-18","1,155","불검출","불검출","적합"
"20","냉장명태","홋카이도","2015-12-18","3,500","불검출","불검출","적합"
"21","냉장갈치","오이타현","2015-12-18","35","불검출","불검출","적합"
"22","냉장갈치","히로시마현","2015-12-18","425","불검출","불검출","적합"
"23","냉장갈치","야마구치현","2015-12-18","115","불검출","불검출","적합"
"24","활우렁쉥이","홋카이도","2015-12-18","9,420","불검출","불검출","적합"
"25","활꼬막 새꼬막
(
)","후쿠오카현","2015-12-18","2,200","불검출","불검출","적합"
"26","냉장명태","홋카이도","2015-12-18","14,992","불검출","불검출","적합"
"27","냉장갈치","와카야마현","2015-12-18","3,082","불검출","불검출","적합"
"28","활우렁쉥이","홋카이도","2015-12-18","8,865","불검출","불검출","적합"
"29","냉장갈치","오이타현","2015-12-18","735","불검출","불검출","적합"
"30","냉장돔 황돔(
)","오이타현","2015-12-18","165","불검출","불검출","적합"
"31","활장어 먹장어
(
)","야마구치현","2015-12-18","854","불검출","불검출","적합"
"32","활가리비","홋카이도","2015-12-18","11,951","불검출","불검출","적합"
