"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 118건","","","","772,232","","",""
"1","볶은커피","미에현","2017-12-01","38","불검출","불검출","적합"
"2","캔디류","아이치현","2018-01-25","346","불검출","불검출","적합"
"3","혼합제제","히로시마현","2018-01-17","45","불검출","불검출","적합"
"4","혼합제제","히로시마현","2018-01-30","255","불검출","불검출","적합"
"5","혼합제제","사이타마현","2018-01-24","725","불검출","불검출","적합"
"6","혼합제제","히로시마현","2018-01-17","150","불검출","불검출","적합"
"7","소스","지바현","2018-01-31","3,285","불검출","불검출","적합"
"8","소스","지바현","2018-01-29","7,179","불검출","불검출","적합"
"9","소스","지바현","2018-01-24","1,858","불검출","불검출","적합"
"10","소스","지바현","2017-12-18","842","불검출","불검출","적합"
"11","과자","니가타현","2018-01-16","94","불검출","불검출","적합"
"12","과자","니가타현","2018-01-16","128","불검출","불검출","적합"
"13","소스","에히메현","2018-02-15","2,840","불검출","불검출","적합"
