"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장돔 참돔(
)","야마구치현","2015-8-28","340","불검출","불검출","적합"
"18","냉장준치","구마모토현","2015-8-28","462","불검출","불검출","적합"
"19","냉장돔 참돔(
)","나가사키현","2015-8-28","280","불검출","불검출","적합"
"20","냉장갈치","에히메현","2015-8-28","440","불검출","불검출","적합"
"21","냉장돔 황돔(
)","나가사키현","2015-8-28","952","불검출","불검출","적합"
"22","냉장명태","홋카이도","2015-8-28","7,428","불검출","불검출","적합"
"23","냉장갈치","와카야마현","2015-8-28","2,915","불검출","불검출","적합"
"24","냉장돔 참돔(
)","야마구치현","2015-8-28","1,000","불검출","불검출","적합"
"25","냉장돔 황돔(
)","야마구치현","2015-8-28","80","불검출","불검출","적합"
"26","냉장홍어","홋카이도","2015-8-28","3,754","불검출","불검출","적합"
"27","활게 참게(
)","후쿠오카현","2015-8-28","840","불검출","불검출","적합"
