"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 147건","","","","726,031","","",""
"1","기타가공품","와카야마현","2018-10-06","3,000","불검출","불검출","적합"
"2","혼합제제","효고현","2018-10-19","12,240","불검출","불검출","적합"
"3","기타가공품","시즈오카현","2018-08-27","1,480","불검출","불검출","적합"
"4","혼합제제","효고현","2018-10-15","6,000","불검출","불검출","적합"
"5","향신료조제품","사이타마현","2018-10-10","2,240","불검출","불검출","적합"
"6","과자","효고현","2018-10-25","3,360","불검출","불검출","적합"
"7","혼합제제","오사카부","2018-10-06","4,000","불검출","불검출","적합"
"8","혼합제제","효고현","2018-09-26","6,260","불검출","불검출","적합"
"9","디아스타아제","도쿄도","2018-09-25","1,050","불검출","불검출","적합"
"10","혼합제제","히로시마현","2018-10-24","1,000","불검출","불검출","적합"
"11","카레(커리)분","교토부","2018-10-25","896","불검출","불검출","적합"
"12","과자","효고현","2018-10-25","500","불검출","불검출","적합"
"13","혼합장","아이치현","2018-10-22","8,960","불검출","불검출","적합"
"14","혼합장","아이치현","2018-10-23","6,000","불검출","불검출","적합"
