"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","106","","128,756","","",""
"1","소스류","후쿠오카현","2016-03-14","2,448","불검출","불검출","적합"
"2","곡류가공품","후쿠오카현","2016-03-15","1,970","불검출","불검출","적합"
"3","합성착향료","이바라키현","2016-03-02","15","불검출","불검출","적합"
"4","가르시니아캄보지
아추출물","시즈오카현","2016-01-18","97.02","불검출","불검출","적합"
"5","향신료조제품(고추
냉이가공품)","아이치현","2016-02-23","630","불검출","불검출","적합"
"6","카레","나라현","2016-02-25","1,000","불검출","불검출","적합"
"7","카레","나라현","2016-02-24","800","불검출","불검출","적합"
"8","카레분","나라현","2016-02-12","800","불검출","불검출","적합"
"9","카레","나라현","2016-01-19","600","불검출","불검출","적합"
"10","볶은커피","효고현","2016-01-22","13.62","불검출","불검출","적합"
"11","카레","나라현","2016-03-01","3,600","불검출","불검출","적합"
"12","볶은커피","효고현","2016-01-21","13.62","불검출","불검출","적합"
"13","카레","나라현","2016-01-28","2,000","불검출","불검출","적합"
