"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
100Bq/Kg)","요오드
(기준:
300Bq/Kg)","판정"
"합계","","-","-","33,050","-","-","-"
"1","가공유크림","오사카부","2018-10-10","120","불검출","불검출","적합"
"2","가공유크림","오사카부","2018-10-10","168","불검출","불검출","적합"
"3","가공유크림","오사카부","2018-10-10","192","불검출","불검출","적합"
"4","가공유크림","오사카부","2018-10-10","192","불검출","불검출","적합"
"5","아이스크림","돗토리현","2018-10-10","328","불검출","불검출","적합"
"6","아이스밀크","돗토리현","2018-10-10","323","불검출","불검출","적합"
"7","아이스밀크","돗토리현","2018-10-10","385","불검출","불검출","적합"
"8","아이스밀크","돗토리현","2018-10-10","551","불검출","불검출","적합"
"9","아이스밀크","돗토리현","2018-10-10","551","불검출","불검출","적합"
"10","비유지방아이스크림","미에현","2018-10-10","30,240","불검출","불검출","적합"
