"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"73","과자(스낵과자)","니가타현","2015-06-18","204","불검출","불검출","적합"
"74","유탕면류","아이치현","2015-05-27","163.8","불검출","불검출","적합"
"75","유탕면류","아이치현","2015-05-02","162","불검출","불검출","적합"
"76","유탕면류","아이치현","2015-05-02","88.11","불검출","불검출","적합"
"77","조미된장","나가노현","2015-06-19","800","불검출","불검출","적합"
"78","된장","나가노현","2015-06-19","800","불검출","불검출","적합"
"79","즉석조리식품","나가노현","2015-06-18","484.8","불검출","불검출","적합"
"80","양조간장","지바현","2015-06-16","352","불검출","불검출","적합"
"81","탄산음료","사가현","2015-06-10","360","불검출","불검출","적합"
"82","탄산음료","사가현","2015-06-11","720","불검출","불검출","적합"
"83","탄산음료","사가현","2015-06-11","1,080","불검출","불검출","적합"
