"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 125건","","","","649,155","","",""
"1","만두","돗토리현","2018-12-27","32","불검출","불검출","적합"
"2","소스","돗토리현","2018-12-25","12","불검출","불검출","적합"
"3","즉석조리식품","돗토리현","2018-12-22","43","불검출","불검출","적합"
"4","향신료조제품","사이타마현","2019-01-26","558","불검출","불검출","적합"
"5","카레(커리)","니가타현","2019-01-31","792","불검출","불검출","적합"
"6","기타 수산물가공품","후쿠시마현","2019-01-31","300","불검출","불검출","적합"
"7","혼합제제","히로시마현","2019-01-31","90","불검출","불검출","적합"
"8","혼합제제","시가현","2019-01-29","300","불검출","불검출","적합"
"9","혼합제제","시가현","2019-01-23","400","불검출","불검출","적합"
"10","청주","니가타현","2019-01-16","259","불검출","불검출","적합"
"11","캔디류","후쿠오카현","2018-12-14","4,500","불검출","불검출","적합"
"12","캔디류","후쿠오카현","2018-12-17","4,500","불검출","불검출","적합"
"13","캔디류","후쿠오카현","2018-12-19","4,500","불검출","불검출","적합"
"14","기타천연착향료","효고현","2019-02-04","1,920","불검출","불검출","적합"
