"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","588,277","-","-","-"
"1","냉동잉어","미얀마","2017-01-06","5,136","불검출","불검출","적합"
"2","냉동꽁치","대만","2017-01-06","117,200","불검출","불검출","적합"
"3","냉동가자미
(매듭가자미,F)","러시아","2017-01-06","5,620","불검출","불검출","적합"
"4","냉동꽁치","대만","2017-01-06","92,000","불검출","불검출","적합"
"5","냉동가자미
(각시가자미)","러시아","2017-01-06","22,500","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2017-01-06","15,500","불검출","불검출","적합"
"7","냉동가자미
(각시가자미)","러시아","2017-01-06","22,500","불검출","불검출","적합"
"8","냉동대구","러시아","2017-01-06","1,505","불검출","불검출","적합"
"9","냉동꽁치","대만","2017-01-06","235,382","불검출","불검출","적합"
"10","냉동꽁치","대만","2017-01-06","70,934","불검출","불검출","적합"
