"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","144","","","","",""
"1","된장","도쿠시마현","2016-01-21","172.8","불검출","불검출","적합"
"2","된장","효고현","2016-01-23","800","불검출","불검출","적합"
"3","키토산/키토올리
고당제품","교토부","2016-01-25","30.72","불검출","불검출","적합"
"4","빵류(그외 빵류)","히로시마현","2015-12-29","661.5","불검출","불검출","적합"
"5","과자(비스킷)","이바라키현","2015-12-18","198","불검출","불검출","적합"
"6","혼합제제","효고현","2016-01-22","34","불검출","불검출","적합"
"7","과자(비스킷)","이바라키현","2015-12-01","175.5","불검출","불검출","적합"
"8","과자(비스킷)","이바라키현","2015-11-01","160.65","불검출","불검출","적합"
"9","즉석조리식품","가나가와현","2016-01-23","5,359.9","불검출","불검출","적합"
"10","혼합제제","효고현","2016-01-29","120","불검출","불검출","적합"
"11","혼합제제","효고현","2016-01-29","120","불검출","불검출","적합"
"12","혼합제제","효고현","2016-01-29","15","불검출","불검출","적합"
"13","혼합제제","효고현","2016-01-25","30","불검출","불검출","적합"
