"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","74건","","91,089","","",""
"1","캔디류(캐러멜)","도치기현","2014-07-03","116.4","불검출","불검출","적합"
"2","소스류","가가와현","2014-04-28","391.43","불검출","불검출","적합"
"3","빵류(파이)","오사카부","2014-08-09","27.1","불검출","불검출","적합"
"4","빵류(케이크)","효고현","2014-07-25","216.72","불검출","불검출","적합"
"5","빵류(케이크)","효고현","2014-07-25","165.12","불검출","불검출","적합"
"6","소스류","히로시마현","2014-07-25","4,140","불검출","불검출","적합"
"7","소스류","히로시마현","2014-07-08","108","불검출","불검출","적합"
"8","소스류","히로시마현","2014-07-04","1,890","불검출","불검출","적합"
"9","소스류","히로시마현","2014-07-23","1,980","불검출","불검출","적합"
"10","빵류(케이크)","효고현","2014-07-25","1,011.36","불검출","불검출","적합"
"11","소스류","후쿠오카현","2014-08-05","25.2","불검출","불검출","적합"
"12","소스류","후쿠오카현","2014-08-07","12.6","불검출","불검출","적합"
"13","음료베이스","아이치현","2014-07-28","149","불검출","불검출","적합"
"14","소스류","시가현","2014-08-01","20,000","불검출","불검출","적합"
"15","과자(쿠키)","시즈오카현","2014-07-02","87.8","불검출","불검출","적합"
"16","과자(쿠키)","시즈오카현","2014-07-01","87.8","불검출","불검출","적합"
"17","혼합제제","효고현","2014-08-04","102","불검출","불검출","적합"
"18","캔디류(캐러멜)","도치기현","2014-05-12","1,927.2","불검출","불검출","적합"
"19","당류가공품","시즈오카현","2014-07-01","240","불검출","불검출","적합"
