"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","77건","","70,499","","",""
"1","기타가공품","사이타마현","2014-02-11","6","불검출","불검출","적합"
"2","청주","구마모토현","2014-07-01","43.2","불검출","불검출","적합"
"3","빵류(그외 빵류)","돗토리현","2014-07-30","2,671","불검출","불검출","적합"
"4","소스류","지바현","2014-07-29","1,404","불검출","불검출","적합"
"5","청주","시마네현","2014-07-01","86.4","불검출","불검출","적합"
"6","즉석조리식품","가가와현","2014-06-20","4,992","불검출","불검출","적합"
"7","고형차","효고현","2014-07-29","500","불검출","불검출","적합"
"8","혼합제제","가나가와현","2014-07-21","10","불검출","불검출","적합"
"9","혼합제제","가나가와현","2014-07-22","15","불검출","불검출","적합"
"10","과자(스낵과자)","오사카부","2014-07-04","374.4","불검출","불검출","적합"
"11","혼합제제","가나가와현","2014-07-22","5","불검출","불검출","적합"
"12","소스류","효고현","2014-05-20","1,260","불검출","불검출","적합"
"13","빵류(케이크)","히로시마현","2014-07-28","144","불검출","불검출","적합"
"14","빵류(케이크)","히로시마현","2014-07-28","144","불검출","불검출","적합"
"15","캔디류(젤리)","나가노현","2014-07-12","265","불검출","불검출","적합"
"16","캔디류(젤리)","나가노현","2014-07-11","298.1","불검출","불검출","적합"
"17","캔디류(캐러멜)","도치기현","2014-06-09","2,958.08","불검출","불검출","적합"
"18","양조간장","지바현","2014-05-26","4,212","불검출","불검출","적합"
"19","양조간장","지바현","2014-07-10","789.75","불검출","불검출","적합"
