"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동어란(명란)","미국","2019-05-31","14,007","불검출","불검출","적합"
"2","마른명태","러시아","2019-05-31","6,116","불검출","불검출","적합"
"3","냉동꽁치","대만","2019-05-31","79,124","불검출","불검출","적합"
"4","냉동곤이(대구)","러시아","2019-05-31","840","불검출","불검출","적합"
"5","냉동곤이(명태)","러시아","2019-05-31","40,410","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2019-05-31","9,000","불검출","불검출","적합"
"7","냉동새우(바나나새우)","인도네시아","2019-05-31","360","불검출","불검출","적합"
"8","냉동어란(명란)","러시아","2019-05-31","10,080","불검출","불검출","적합"
"9","냉동어란(명란)","러시아","2019-05-31","23,737","불검출","불검출","적합"
"10","냉동고등어","중국","2019-05-31","24,000","불검출","불검출","적합"
"11","냉동곤이(대구)","러시아","2019-05-31","39,697","불검출","불검출","적합"
"12","냉동꽁치","대만","2019-05-31","53,661","불검출","불검출","적합"
"합계","","-","-","301,032","-","-","-"
