"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","26건","","","80,321","-","-","-"
"1","활돔(벵에돔)","오사카부","2014-12-31","1,158","불검출","불검출","적합"
"2","활가리비","홋카이도","2014-12-31","3,294","불검출","불검출","적합"
"3","활가리비","홋카이도","2014-12-31","7,041","불검출","불검출","적합"
"4","활가리비","홋카이도","2014-12-31","6,500","불검출","불검출","적합"
"5","냉장돔(황돔)","야마구치현","2014-12-31","660","불검출","불검출","적합"
"6","냉장돔(황돔)","나가사키현","2014-12-31","363","불검출","불검출","적합"
"7","냉장돔(황돔)","야마구치현","2014-12-31","220","불검출","불검출","적합"
"8","활장어(먹장어)","나가사키현","2014-12-31","1,072","불검출","불검출","적합"
"9","냉장돔(황돔)","나가사키현","2014-12-31","116","불검출","불검출","적합"
"10","냉장돔(황돔)","야마구치현","2014-12-31","80","불검출","불검출","적합"
"11","냉장돔(황돔)","야마구치현","2014-12-31","180","불검출","불검출","적합"
"12","냉동눈다랑어(F,횟감)","시즈오카현","2014-12-31","180","불검출","불검출","적합"
"13","냉동눈다랑어(목살)","시즈오카현","2014-12-31","140","불검출","불검출","적합"
"14","냉장명태","홋카이도","2014-12-31","5,000","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2014-12-31","1,702","불검출","불검출","적합"
"16","활꼬막","사가현","2014-12-31","1,000","불검출","불검출","적합"
"17","활꼬막(새꼬막)","사가현","2014-12-31","2,400","불검출","불검출","적합"
"18","활우렁쉥이","홋카이도","2014-12-31","8,293","불검출","불검출","적합"
"19","활꼬막(새꼬막)","후쿠오카현","2014-12-31","2,220","불검출","불검출","적합"
"20","냉장갈치","히로시마현","2014-12-31","260","불검출","불검출","적합"
"21","냉장명태","홋카이도","2014-12-31","15,400","불검출","불검출","적합"
"22","활우렁쉥이","홋카이도","2014-12-31","8,898","불검출","불검출","적합"
"23","활우렁쉥이","홋카이도","2014-12-31","9,584","불검출","불검출","적합"
"24","냉장갈치","오이타현","2014-12-31","1,080","불검출","불검출","적합"
"25","활꼬막","사가현","2014-12-31","1,000","불검출","불검출","적합"
"26","활꼬막(새꼬막)","사가현","2014-12-31","2,480","불검출","불검출","적합"
