"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","99건","","410,077","","",""
"1","육두구(육두관)/
건조","인도네시아","2014-08-01","3,000","불검출","불검출","적합"
"2","국수","효고현","2014-07-29","100","불검출","불검출","적합"
"3","양조간장","아이치현","2014-11-18","583.2","불검출","불검출","적합"
"4","기타전분","가고시마현","2014-10-06","40","불검출","불검출","적합"
"5","천연향신료","오사카부","2014-11-18","1.02","불검출","불검출","적합"
"6","곡류가공품","아이치현","2014-11-11","31.5","불검출","불검출","적합"
"7","양조간장","지바현","2014-10-24","624","불검출","불검출","적합"
"8","맥주","교토부","2014-10-28","211,700.
16","불검출","불검출","적합"
"9","맥주","구마모토현","2014-12-01","37,040","불검출","불검출","적합"
"10","국수","아키타현","2014-11-13","22.5","불검출","불검출","적합"
"11","양조간장","지바현","2014-11-14","270","불검출","불검출","적합"
"12","글리신","가나가와현","2014-10-10","7,200","불검출","불검출","적합"
"13","빵류(케이크)","효고현","2014-11-28","168","불검출","불검출","적합"
