"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","177건","","410,077","","",""
"1","인스턴트커피","미에현","2014-08-22","324","불검출","불검출","적합"
"2","비타민","시즈오카현","2014-12-01","162","불검출","불검출","적합"
"3","조미건어포류","훗카이도","2014-12-11","120","불검출","불검출","적합"
"4","볶은커피","시즈오카현","2014-11-24","46","불검출","불검출","적합"
"5","화이트초콜릿","훗카이도","2014-12-03","264","불검출","불검출","적합"
"6","과자(쿠키)","훗카이도","2014-12-13","40","불검출","불검출","적합"
"7","과자(쿠키)","아이치현","2014-11-25","27.6","불검출","불검출","적합"
"8","캔디류(사탕)","아이치현","2014-11-19","53.9","불검출","불검출","적합"
"9","과자(비스킷)","아이치현","2014-11-19","56.4","불검출","불검출","적합"
"10","맥주","오이타현","2014-11-23","33,120","불검출","불검출","적합"
"11","소스류","효고현","2014-11-07","55","불검출","불검출","적합"
"12","과자(쿠키)","아이치현","2014-11-19","37","불검출","불검출","적합"
"13","과자(쿠키)","아이치현","2014-11-28","15.8","불검출","불검출","적합"
