"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","147건","","664,875","","",""
"1","준초콜릿","에히메현","2014-10-28","374.4","불검출","불검출","적합"
"2","과.채음료","후쿠오카현","2014-11-07","158","불검출","불검출","적합"
"3","소스류","교토부","2014-11-26","272","불검출","불검출","적합"
"4","알긴산나트륨","와카야마현","2014-10-31","40","불검출","불검출","적합"
"5","청주","교토부","2014-11-01","864","불검출","불검출","적합"
"6","청주","교토부","2014-11-01","864","불검출","불검출","적합"
"7","청주","교토부","2014-11-01","432","불검출","불검출","적합"
"8","청주","교토부","2014-11-01","432","불검출","불검출","적합"
"9","청주","아오모리현","2014-11-12","6,674.4","불검출","불검출","적합"
"10","청주","아오모리현","2014-11-18","933.12","불검출","불검출","적합"
"11","이노시톨","와카야마현","2014-10-27","500","불검출","불검출","적합"
"12","캔디류(사탕)","오사카부","2014-08-08","150","불검출","불검출","적합"
"13","과자(쿠키)","도쿄도","2014-11-15","4","불검출","불검출","적합"
