"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"51","소스류","후쿠오카현","2014-12-05","120","불검출","불검출","적합"
"52","기타가공품","이바라키현","2014-10-21","59","불검출","불검출","적합"
"53","소스류","사이타마현","2014-10-25","110","불검출","불검출","적합"
"54","향미유","사이타마현","2014-11-05","70","불검출","불검출","적합"
"55","소스류","히로시마현","2014-12-05","300","불검출","불검출","적합"
"56","소스류","나가사키현","2014-11-08","100","불검출","불검출","적합"
"57","소스류","나가사키현","2014-11-15","125.4","불검출","불검출","적합"
"58","유탕면류","나가사키현","2014-12-02","40","불검출","불검출","적합"
"59","초콜릿가공품","도쿄도","2014-11-26","32.8","불검출","불검출","적합"
"60","초콜릿가공품","도쿄도","2014-11-21","13.7","불검출","불검출","적합"
"61","초콜릿가공품","도쿄도","2014-11-18","18.1","불검출","불검출","적합"
"62","초콜릿가공품","도쿄도","2014-11-19","30.6","불검출","불검출","적합"
"63","초콜릿가공품","도쿄도","2014-11-21","12.5","불검출","불검출","적합"
"64","소스류","시즈오카현","2014-10-14","100","불검출","불검출","적합"
"65","소스류","군마현","2014-10-17","108","불검출","불검출","적합"
"66","소스류","시즈오카현","2014-10-16","100.2","불검출","불검출","적합"
"67","소스류","나가사키현","2014-12-09","594","불검출","불검출","적합"
"68","소스류","후쿠오카현","2014-12-02","1,500","불검출","불검출","적합"
"69","소스류","후쿠오카현","2014-12-05","300","불검출","불검출","적합"
"70","소스류","후쿠오카현","2014-12-03","1,080","불검출","불검출","적합"
"71","소스류","후쿠오카현","2014-12-06","200","불검출","불검출","적합"
"72","소스류","후쿠오카현","2014-12-01","2,000","불검출","불검출","적합"
"73","기타가공품","아이치현","2014-10-29","100","불검출","불검출","적합"
"74","혼합제제","나가노현","2014-12-02","118","불검출","불검출","적합"
"75","고형차","후쿠오카현","2014-12-05","100","불검출","불검출","적합"
"76","고형차","후쿠오카현","2014-11-05","15","불검출","불검출","적합"
"77","곡류가공품","도쿄도","2014-12-05","238","불검출","불검출","적합"
"78","덱스트린","시즈오카현","2014-10-24","10","불검출","불검출","적합"
"79","과자(스낵과자)","사이타마현","2014-07-07","1,256","불검출","불검출","적합"
"80","청주","나라현","2013-12-26","86.4","불검출","불검출","적합"
"81","기타주류","나라현","2014-10-30","72","불검출","불검출","적합"
"82","탄산음료","도쿄도","2014-11-15","12,086","불검출","불검출","적합"
"83","혼합제제","효고현","2014-12-11","17","불검출","불검출","적합"
"84","혼합제제","효고현","2014-12-11","33","불검출","불검출","적합"
"85","혼합제제","효고현","2014-12-02","187","불검출","불검출","적합"
"86","덱스트린","효고현","2014-11-18","500","불검출","불검출","적합"
"87","혼합제제","효고현","2014-11-21","2,000","불검출","불검출","적합"
"88","복합조미식품","오이타현","2014-11-13","700","불검출","불검출","적합"
"89","감자전분","효고현","2014-10-15","200","불검출","불검출","적합"
