"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","76건","","153,003","","",""
"1","청주","교토부","2014-03-31","2,073.6","불검출","불검출","적합"
"2","혼합제제","효고현","2014-05-22","102","불검출","불검출","적합"
"3","빵류(그외 빵류)","효고현","2014-04-17","5.04","불검출","불검출","적합"
"4","소스류","가나가와현","2014-04-04","220","불검출","불검출","적합"
"5","빵류(파이)","효고현","2014-04-18","24","불검출","불검출","적합"
"6","과자(쿠키)","효고현","2014-04-16","4.32","불검출","불검출","적합"
"7","기타식초","도치기현","2014-04-15","2,150","불검출","불검출","적합"
"8","과자(쿠키)","효고현","2014-04-16","4.32","불검출","불검출","적합"
"9","빵류(그외 빵류)","효고현","2014-04-18","26.4","불검출","불검출","적합"
"10","소스류","군마현","2014-04-17","625","불검출","불검출","적합"
"11","소스류","군마현","2014-04-08","810","불검출","불검출","적합"
"12","혼합제제","시가현","2014-05-12","2,660","불검출","불검출","적합"
"13","혼합제제","시가현","2014-05-07","400","불검출","불검출","적합"
"14","캔디류(사탕)","가나가와현","2014-05-08","489.98","불검출","불검출","적합"
"15","과자(크래커)","이바라키현","2014-04-16","305.28","불검출","불검출","적합"
"16","캔디류(사탕)","후쿠시마현","2014-04-28","259.2","불검출","불검출","적합"
"17","액상차","가나가와현","2014-03-08","1,440","불검출","불검출","적합"
"18","식용유지가공품","시즈오카현","2013-05-29","80.16","불검출","불검출","적합"
