"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","41건","","49,770","","",""
"1","빵류(그외  빵류)","효고현","2014-04-18","35.1","불검출","불검출","적합"
"2","과자(쿠키)","아이치현","2014-04-29","8.6","불검출","불검출","적합"
"3","빵류(그외 빵류)","효고현","2014-04-17","15.12","불검출","불검출","적합"
"4","캔디류(캐러멜)","군마현","2014-03-01","90.24","불검출","불검출","적합"
"5","커피/건조","브라질","2014-05-21","19,084.8","불검출","불검출","적합"
"6","혼합제제","오카야마현","2014-04-17","60","불검출","불검출","적합"
"7","혼합제제","오카야마현","2014-04-18","30","불검출","불검출","적합"
"8","혼합제제","오카야마현","2014-05-13","300","불검출","불검출","적합"
"9","시클로덱스트린(알파,베타,감마)","시즈오카현","2014-03-05","500","불검출","불검출","적합"
"10","소스류","에히메현","2014-05-12","5,643.72","불검출","불검출","적합"
"11","건어포류","에히메현","2014-05-20","120","불검출","불검출","적합"
"12","건어포류","효고현","2014-05-08","20","불검출","불검출","적합"
"13","캔디류(사탕)","미에현","2014-05-12","844.8","불검출","불검출","적합"
"14","캔디류(사탕)","미에현","2014-05-14","844.8","불검출","불검출","적합"
"15","인스턴트커피","시즈오카현","2014-05-20","4,000","불검출","불검출","적합"
"16","복합조미식품","효고현","2014-05-14","600","불검출","불검출","적합"
"17","복합조미식품","효고현","2014-05-21","150","불검출","불검출","적합"
"18","소스류","아이치현","2014-04-18","40","불검출","불검출","적합"
