"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","129건","","434,081","","",""
"1","빵류(케이크)","효고현","2014-04-11","1,259.9","불검출","불검출","적합"
"2","빵류(케이크)","효고현","2014-04-16","176.3","불검출","불검출","적합"
"3","빵류(케이크)","효고현","2014-04-17","176.3","불검출","불검출","적합"
"4","빵류(케이크)","효고현","2014-04-16","176.3","불검출","불검출","적합"
"5","과자(쿠키)","효고현","2014-04-16","8.64","불검출","불검출","적합"
"6","빵류(그외 빵류)","효고현","2014-04-17","15.12","불검출","불검출","적합"
"7","탄산칼슘","오카야마현","2014-05-26","16,000","불검출","불검출","적합"
"8","맥주","오이타현","2014-04-21","29,520","불검출","불검출","적합"
"9","캔디류(사탕)","아이치현","2014-05-19","3,960","불검출","불검출","적합"
"10","캔디류(사탕)","아이치현","2014-05-20","3,600","불검출","불검출","적합"
"11","캔디류(사탕)","아이치현","2014-05-19","1,980","불검출","불검출","적합"
"12","캔디류(사탕)","아이치현","2014-05-20","1,188","불검출","불검출","적합"
"13","소스류","히로시마현","2014-03-27","288","불검출","불검출","적합"
"14","소스류","히로시마현","2014-05-01","540","불검출","불검출","적합"
"15","혼합제제","오사카부","2013-08-05","50","불검출","불검출","적합"
"16","글리세린지방산에스테르","미에현","2014-05-23","200","불검출","불검출","적합"
"17","혼합제제","오사카부","2014-05-29","6","불검출","불검출","적합"
"18","기타천연착향료","오사카부","2014-01-07","6","불검출","불검출","적합"
