"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 178건","","","","1,180,947","","",""
"1","소스","나가사키현","2018-10-19","2,571","불검출","불검출","적합"
"2","소스","나가사키현","2018-09-12","3,122","불검출","불검출","적합"
"3","소스","나가사키현","2018-11-01","2,912","불검출","불검출","적합"
"4","소스","나가사키현","2018-09-20","2,586","불검출","불검출","적합"
"5","소스","나가사키현","2018-10-22","1,490","불검출","불검출","적합"
"6","소스","나가사키현","2018-10-18","5,016","불검출","불검출","적합"
"7","소스","나가사키현","2018-11-05","3,414","불검출","불검출","적합"
"8","곡류가공품","나가사키현","2018-10-23","950","불검출","불검출","적합"
"9","소스","나가사키현","2018-10-20","16,125","불검출","불검출","적합"
"10","초콜릿가공품","이바라키현","2018-10-22","3,033","불검출","불검출","적합"
"11","캔디류","야마나시현","2018-11-01","8,002","불검출","불검출","적합"
"12","과자","아이치현","2018-10-18","101","불검출","불검출","적합"
"13","향신료조제품","나가노현","2018-10-31","4,300","불검출","불검출","적합"
"14","혼합장","나가노현","2018-10-29","426","불검출","불검출","적합"
