"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 192건","","","","1,107,519","","",""
"1","즉석조리식품","미에현","2018-10-17","8,109","불검출","불검출","적합"
"2","탄산칼슘","오카야마현","2018-11-14","17,000","불검출","불검출","적합"
"3","혼합제제","아이치현","2018-10-05","2,400","불검출","불검출","적합"
"4","글루타미나아제","아이치현","2018-11-16","101","불검출","불검출","적합"
"5","탄산음료","오사카부","2018-10-29","1,500","불검출","불검출","적합"
"6","밀크초콜릿","가나가와현","2018-11-05","778","불검출","불검출","적합"
"7","밀크초콜릿","가나가와현","2018-10-20","518","불검출","불검출","적합"
"8","탄산음료","오사카부","2018-09-20","3,000","불검출","불검출","적합"
"9","탄산음료","오사카부","2018-07-18","1,920","불검출","불검출","적합"
"10","건어포","에히메현","2018-11-06","160","불검출","불검출","적합"
"11","캔디류","아이치현","2018-11-13","122","불검출","불검출","적합"
"12","캔디류","아이치현","2018-11-09","257","불검출","불검출","적합"
"13","캔디류","아이치현","2018-11-12","245","불검출","불검출","적합"
"14","과·채음료","후쿠오카현","2018-10-08","540","불검출","불검출","적합"
