"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 141건","","","","433,498","","",""
"1","혼합장","훗카이도","2018-10-16","2,592","불검출","불검출","적합"
"2","혼합장","훗카이도","2018-10-18","3,780","불검출","불검출","적합"
"3","비타민C","시즈오카현","2018-09-21","54","불검출","불검출","적합"
"4","청주","효고현","2018-11-13","9,216","불검출","불검출","적합"
"5","당절임","나가노현","2018-11-01","202","불검출","불검출","적합"
"6","혼합제제","오카야마현","2018-11-09","450","불검출","불검출","적합"
"7","소스","사이타마현","2018-10-15","1,264","불검출","불검출","적합"
"8","곡류가공품","히로시마현","2018-10-25","1,800","불검출","불검출","적합"
"9","캔디류","아이치현","2018-10-23","80","불검출","불검출","적합"
"10","캔디류","아이치현","2018-10-23","80","불검출","불검출","적합"
"11","소스","니가타현","2018-09-20","1,627","불검출","불검출","적합"
"12","소스","니가타현","2018-10-03","4,032","불검출","불검출","적합"
"13","숙면","구마모토현","2018-11-13","1,524","불검출","불검출","적합"
"14","숙면","구마모토현","2018-11-13","1,827","불검출","불검출","적합"
