"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"","방산에스테르","","","","","",""
"180","혼합제제","미에현","2018-10-03","32","불검출","불검출","적합"
"181","맥주","후쿠오카현","2018-11-05","261,720","불검출","불검출","적합"
"182","피로인산제이철","도쿠시마현","2018-11-07","50","불검출","불검출","적합"
"183","화이트초콜릿","훗카이도","2018-11-05","75","불검출","불검출","적합"
"184","밀크초콜릿","훗카이도","2018-11-05","225","불검출","불검출","적합"
"185","초콜릿","훗카이도","2018-11-05","24","불검출","불검출","적합"
"186","밀크초콜릿","훗카이도","2018-11-05","150","불검출","불검출","적합"
"187","화이트초콜릿","훗카이도","2018-11-05","96","불검출","불검출","적합"
"188","초콜릿","훗카이도","2018-11-05","96","불검출","불검출","적합"
"189","초콜릿","훗카이도","2018-11-05","48","불검출","불검출","적합"
"190","탄산음료","아이치현","2018-10-11","300","불검출","불검출","적합"
"191","탄산음료","아이치현","2018-08-31","420","불검출","불검출","적합"
"192","캔디류","야마나시현","2018-09-19","38","불검출","불검출","적합"
