"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","112건","","219,213","","",""
"1","준초콜릿","도쿄도","2014-03-06","26.6","불검출","불검출","적합"
"2","준초콜릿","도쿄도","2014-03-03","25.6","불검출","불검출","적합"
"3","준초콜릿","도쿄도","2014-03-12","24","불검출","불검출","적합"
"4","준초콜릿","도쿄도","2014-03-12","16","불검출","불검출","적합"
"5","초콜릿가공품","도쿄도","2014-03-07","48.6","불검출","불검출","적합"
"6","초콜릿가공품","도쿄도","2014-03-07","46.8","불검출","불검출","적합"
"7","초콜릿가공품","도쿄도","2014-03-07","83","불검출","불검출","적합"
"8","초콜릿가공품","도쿄도","2014-03-07","32.4","불검출","불검출","적합"
"9","준초콜릿","도쿄도","2014-03-12","16","불검출","불검출","적합"
"10","캔디류(젤리)","도쿄도","2014-03-12","16","불검출","불검출","적합"
"11","초콜릿가공품","도쿄도","2014-03-03","24.1","불검출","불검출","적합"
"12","초콜릿가공품","도쿄도","2014-03-03","54","불검출","불검출","적합"
"13","초콜릿가공품","도쿄도","2014-03-03","17.8","불검출","불검출","적합"
"14","초콜릿가공품","도쿄도","2014-03-03","16.1","불검출","불검출","적합"
"15","준초콜릿","도쿄도","2014-03-07","34.9","불검출","불검출","적합"
"16","준초콜릿","도쿄도","2014-03-04","23.6","불검출","불검출","적합"
