"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","54건","","47,581","","",""
"1","기타가공품","시즈오카현","2014-02-03","5,400","불검출","불검출","적합"
"2","소스류","가나가와현","2014-03-20","418","불검출","불검출","적합"
"3","소스류","가나가와현","2014-03-19","270","불검출","불검출","적합"
"4","소스류","가나가와현","2014-03-19","276.75","불검출","불검출","적합"
"5","소스류","가나가와현","2014-03-20","1,161.68","불검출","불검출","적합"
"6","셀룰라아제","아이치현","2014-03-04","500","불검출","불검출","적합"
"7","혼합제제","미에현","2014-01-17","96","불검출","불검출","적합"
"8","볶은커피","시즈오카현","2013-12-24","600","불검출","불검출","적합"
"9","볶은커피","시즈오카현","2013-12-21","600","불검출","불검출","적합"
"10","볶은커피","시즈오카현","2014-01-09","300","불검출","불검출","적합"
"11","볶은커피","효고현","2014-03-14","83.7","불검출","불검출","적합"
"12","볶은커피","효고현","2014-04-04","38.6","불검출","불검출","적합"
"13","과자(웨이퍼)","오사카부","2014-03-11","1,404","불검출","불검출","적합"
"14","캔디류(사탕)","니가타현","2014-03-26","134.4","불검출","불검출","적합"
"15","고형차","시즈오카현","2014-03-02","300","불검출","불검출","적합"
"16","양조간장","아이치현","2014-03-28","432","불검출","불검출","적합"
